,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
7352,Ash estava ficando para trás em suas aulas e queria fazer melhor.,Ash estava atrás de suas aulas e queria fazer melhor.,Ash estava a ficar para trás nas aulas e queria fazer melhor.,Por que Ash fez isso?,Por que o Ash fez isso?,Porque é que o Ash fez isto?,Não tente tanto,Não tente ser tão difícil,Não tente tanto.,Fracassar sua classe,falhar a sua classe,Falhar a sua classe,Faça bem na escola,Bom na escola,A sério?,C
7353,O Casey era o chefe do Cameron e era um microgerente.,"Casey era chefe de Cameron e era um microgestor, Casey nunca deu folga",O Casey era o chefe da Cameron e era um micro-gerente.,O que Casey vai querer fazer a seguir?,O que queremos com Casey?,O que vai querer fazer o Casey a seguir?,Seja rigoroso,ser rigoroso,Seja rigoroso.,Pense no que fazer a seguir,Pensar no que fazer a seguir,Pensa no que fazer a seguir.,Perdoe-me,estar perdoando,ser perdoador,B
7354,Tracy esgueirado atrás de Cameron e colocar gelo para baixo sua camisa.,Tracy snuck atrás de Cameron e coloque gelo na sua camiseta.,A Tracy esgueirou-se atrás do Cameron e pôs gelo na camisa dele.,O que Cameron vai querer fazer a seguir?,O que queremos por Cameron?,O que é que a Cameron vai querer fazer a seguir?,ficou chocado e foi e fez com que seu amigo batesse nela,foi chocado e foi e conseguiu que sua amiga batisse a sua,Foi chocado e foi e fez com que o amigo dela a batesse.,ficou chocada e pensou que ela tinha uma queda por ele,choqueu e achou que ela tinha uma ruptura nele,Ficou chocada e pensou que ela tinha uma queda por ele .,ficou chocado e foi e contou ao professor sobre ela,foi chocado e foi esclarecido e contado à professora sobre ela.,Foi chocada e foi e disse ao professor sobre ela,C
7355,Kai estava concorrendo ao Congresso e se levantou para a pessoa comum.,"Kai estava em andamento para o Congresso, o Kai permaneceu em pé para a pessoa comum.","Kai estava a candidatar-se ao Congresso, ele defendeu o povo comum.",Por que Kai fez isso?,Por que o Kai fez isso?,Porque é que o Kai fez isto?,tinham sido maltratados antes,- se foi submetido a um tratamento de,já foi maltratado antes,Queria ganhar dinheiro,quis fazer dinheiro,Queria ganhar dinheiro.,Pensei que seria divertido,pensamos que seria divertido,Pensei que seria divertido.,A
7356,"Cameron estava pensando em começar um novo emprego, embora ele tivesse um atualmente. Ele tinha três ofertas de emprego diferentes, cada uma com diferentes problemas, desde pagamento até o local e o tipo de trabalho. Cameron considerou essas opções separadamente.","Cameron estava considerando iniciar um novo trabalho, embora tenha tido uma proposta de trabalho atualmente, com três","Cameron estava considerando começar um novo emprego, embora ele tivesse um atualmente. Ele tinha três ofertas de emprego diferentes, cada uma com questões diferentes, desde o salário até o local e o tipo de trabalho.",O que Cameron precisa fazer antes disso?,O que é necessário para Cameron diante disso?,O que é que a Cameron precisa de fazer antes disto?,necessário para discutir a mudança com sua família,necessitou de discutir a mudança com sua família,precisava de discutir a mudança com a família.,Ele precisava deixar seu emprego atual imediatamente.,necessitou de abandonar imediatamente o seu trabalho atual,precisava de deixar o emprego imediatamente.,Determinar qual o melhor trabalho,determinar qual o melhor emprego,determinar qual o melhor trabalho,C
7357,Jordan estava em casa da faculdade e ficou em casa. Jordan comeu toda a comida de Sydney que ela fez.,"A Jordan estava em casa desde a faculdade e ficava em casa, a Jordan comia toda a",A Jordan voltou da faculdade e ficou em casa.,O que Jordan vai querer fazer a seguir?,O que a Jordânia deseja fazer a seguir?,O que vai querer fazer a seguir?,Foi-lhes dito para comerem tudo pelo Jordão.,foram orientados a comer todos eles pela Jordânia,Foram mandados comer tudo pelo Jordan.,desculpar-se,Pedidos,Peço desculpa.,foram realmente famished,nã,estavam realmente famintos,B
7358,Lee foi e conversou com um terapeuta quando Lee acumulou muito estresse e a depressão piorou.,Lee foi e conversava com um terapeuta quando Lee acumulou muito estresse e a depressão piorou,O Lee foi falar com um terapeuta quando acumulou muito stress e a depressão piorou.,Porque é que o Lee fez isto?,Por que Lee fez isso?,Porque é que o Lee fez isto?,foi e conversou com um terapeuta em seguida,consultou e falou com uma terapeuta em seguida,Fui falar com um terapeuta.,accumalate um monte de tensões e a depressão piorou,accumalate muito estresse e a depressão piorou,acumulado muito estresse e a depressão piorou,obter alívio,alívio,- Descanse .,C
7359,"Ninguém sabia como entrar em contato com Jan que estava fora visitando seus parentes, mas Robin produziu o número de Jan.","Nenhum sabia entrar em contato com Jan que estava afastado de visitar seus parentes, mas Robin produziu o","Ninguém sabia como entrar em contato com Jan, que estava fora visitando parentes, mas Robin deu o número de telefone de Jan.",Porque é que a Robin fez isto?,Por que Robin fez isso?,Porque é que a Robin fez isto?,Ligue para Jan e diga ao seu pessoal que quer falar,Chama Jan e conta para o povo que ele quer falar,Liga à Jan e diz-lhe que o pessoal quer falar.,Aproxime-se de Jan e deixe-a saber que ela perdeu,Chegar a Jan e deixar ela saber que falta,Liga à Jan e diz-lhe que está faltando.,Queria ajudar seus amigos,quis ajudar os amigos,Queriam ajudar os amigos deles.,C
7360,"O novo jogo que Sasha estava programando tinha tomado um grande esforço de sua parte, então ela estava feliz com os resultados quando ela terminou.",O novo jogo que Sasha estava programando tinha feito muito esforço por parte dela para que se,"O novo jogo que Sasha estava programando exigia muito esforço da sua parte, por isso ela ficou feliz com os resultados quando terminou.",Como você descreveria Sasha?,Como descreveria Sasha?,Como descreveria a Sasha?,Sem inspiração e preguiçoso no trabalho,desspirado e preguiça no trabalho,Desinspirado e preguiçoso no trabalho,faz trabalho incompleto e impreciso,faz trabalho incompleto e impreciso,Faz um trabalho incompleto e impreciso,trabalhador e diligente,um trabalhador duro e diligente,Trabalhador e diligente.,C
7361,Jan balançou uma perna e continuou a dançar com todos na festa.,Jan bateu uma perna e depois continuou dançando com todos na festa.,Jan deu um aperto de perna e depois continuou a dançar com todos na festa.,Como Jan se sentiria depois?,Como se sentiria Jan depois?,Como se sentiria Jan depois?,isolado depois,após,isolado depois,Irritado depois,náusea após,zangado depois.,Social depois,social at,social depois,C
7362,"Depois de decote por alguns minutos, Sasha sacudiu a língua de Jesse com a ponta da sua própria.","Após alguns minutos de pescoço, Sasha fissurou a língua de Jesse com a ponta","Depois de coçar por alguns minutos, Sasha bateu na língua do Jesse com a ponta da sua.",O que vai acontecer com Sasha?,O que acontecerá com Sasha?,O que vai acontecer com o Sasha?,Ser beijada por Jesse,ser beijado por Jesse,ser beijado por Jesse,ser levado para o banheiro,ser levado ao banheiro,ser levado para a casa de banho,ser morto por Jesse,ser assassinado por Jesse,Ser morto por Jesse.,A
7363,O cliente foi mostrado uma camisa nova por Aubrey que trabalhou lá.,O cliente foi mostrado uma nova camiseta da marca Aubrey que trabalhou lá.,O cliente foi mostrado uma camisa nova por Aubrey que trabalhava lá.,O que os outros vão fazer a seguir?,O que os outros vão fazer a seguir?,O que vão fazer os outros a seguir?,Faça com que o cliente tenha o tamanho certo,obter o tamanho adequado do cliente,- O que é que queres ?,Diga a Aubrey que eles precisam deixá-los em paz,conta-lhes Aubrey que precisam deixe-los sozinhos,Diz ao Aubrey que eles precisam de os deixar em paz .,Pergunte a Aubrey em que tamanhos eles estão disponíveis,Pergunte a Aubrey sobre os tamanhos que estão disponíveis em,Pergunta ao Aubrey em que tamanhos estão disponíveis.,C
7364,"Riley ouviu vozes na casa, embora ela fosse a única lá.","Riley ouvia vozes em casa, embora fosse a única delas.","A Riley ouviu vozes na casa, embora fosse a única lá.",Como Riley se sentiria depois?,Como se sentiria Riley depois?,Como é que a Riley se sentiria depois?,rastejado para fora,crept out,Desapareceu,paranóico,paranoide,Paranoico,Indiferente,indiferente,indiferente,A
7365,Lee contou a Quinn uma piada inapropriada do refrigerador de água e Quinn apenas revirou os olhos e se afastou.,Lee contou Quinn uma brincadeira inadequada pelo refrigerador de água e Quinn apenas la,A Lee contou à Quinn uma piada inapropriada junto ao refrigerador de água e a Quinn rolou os olhos e foi-se embora.,Porque é que o Lee fez isto?,Por que Lee fez isso?,Porque é que o Lee fez isto?,ser irritado,irritação,ficar irritado,Impressione Quinn fazendo-a rir,Imprimir Quinn fazendo com que ela risse,Impressona a Quinn fazendo-a rir.,Certifica-te que o Quinn não falou mais com ele.,Certifique-se de que Quinn não falou mais com ele.,Certifica-te que o Quinn não fale mais com ele.,B
7366,Remy decidiu fazer um objetivo para ficar mais saudável e começar a comer uma dieta melhor.,Remy decidiu fazer uma meta para obter mais saúde e começar a comer uma melhor dieta.,Remy decidiu fazer um objetivo de ficar mais saudável e começar a comer uma dieta melhor.,Como Remy se sentiria depois?,Como se sentiria depois de Remy?,Como é que o Remy se sentiria depois?,maçante,nã,aborrecido,mais enérgico,mais energética,mais energético,mais lento,mais lodos,mais lento,B
7367,Alex colocou Jordan em seu lugar durante um scrimmage prática porque Jordan estava ficando muito arrogante.,Alex colocou a Jordânia em seu lugar durante um escrimejo de prática porque a Jordânia,Alex colocou o Jordan no lugar deles durante um jogo de treino porque o Jordan estava a ficar demasiado arrogante.,O que vai acontecer com Alex?,O que acontecerá com Alex?,O que vai acontecer com o Alex?,chill out,arrefecimento,Acalma-te .,confiante,Confidente,confiante,fraco,fraco,fraco,B
7368,"Tracy estava morrendo depois de ser baleada, então Addison segurou Tracy em seus braços até que a polícia chegasse.",Tracy morreu após ser abatido de modo que Addison manteve Tracy nos braços até chegar à polícia,"A Tracy estava a morrer depois de ter sido baleada, por isso a Addison segurou-a nos braços até a polícia chegar.",Porque é que a Addison fez isto?,Por que o Addison fez isso?,Porque é que a Addison fez isto?,Ajude Tracy a se manter viva,Ajuda Tracy a viver,Ajudar a Tracy a ficar viva.,Ajude Tracy a morrer,Ajuda Tracy die,Ajudar a Tracy a morrer.,terminar Tracy fora,terminar Tracy off,Acaba com a Tracy.,A
7369,Carson deu dinheiro ao Kendall para que o Kendall pudesse pagar as contas mensais.,Carson deu dinheiro para que Kendall pudesse pagar as contas mensais.,Carson deu dinheiro para Kendall pagar as contas mensais.,O que Carson vai querer fazer a seguir?,O que queremos por Carson?,O que é que o Carson vai querer fazer a seguir?,roubar dinheiro de Kendall,dinheiro de roubo do Quénia,Roubar dinheiro da Kendall.,pedir dinheiro emprestado a Kendall,BOX,Pede dinheiro emprestado à Kendall.,Certifique-se de que Kendall pagou as contas,assegurar que Kendall pagou as contas,Certifica-te que a Kendall pagou as contas.,C
7370,"Bailey teve dificuldade em mover os móveis, então ela pediu a sua vizinha para ajudar.","Bailey tinha um tempo difícil de deslocamento do mobiliário, então pediu ajuda para o vizinho.","A Bailey teve dificuldade em mover os móveis, por isso pediu ajuda à vizinha.",Porque é que a Bailey fez isto?,Por que Bailey fez isso?,Porque é que a Bailey fez isto?,Ser irritante para seus vizinhos,estar incomodando os vizinhos,ser irritante para os vizinhos dela,ter assistência em mover-se,Têm assistência em movimento,ter assistência para se mudar,Interrompa seus vizinhos,interromper os vizinhos,Interromper os vizinhos dela.,B
7371,Cameron discutiu uma mudança em sua nova política de privacidade no trabalho.,Cameron discutiu uma mudança na sua nova política de privacidade no trabalho.,Cameron falou de uma mudança na nova política de privacidade no trabalho.,O que Cameron precisa fazer antes disso?,O que é necessário para Cameron diante disso?,O que é que a Cameron precisa de fazer antes disto?,memorizar a política de privacidade,memorizo a política de privacidade,Memorize a política de privacidade,desenvolver uma nova política de privacidade,desenvolver uma nova política de privacidade,elaborar uma nova política de privacidade,Converse com os outros no trabalho,conversar com os outros no trabalho,falar com os outros no trabalho,B
7372,"Quinn era uma pessoa inteligente, então ela seguiu o conselho de Tracy.",quinn era uma pessoa inteligente e seguiu o conselho de tracy.,"A Quinn era uma pessoa inteligente, por isso seguiu o conselho da Tracy.",O que Tracy vai querer fazer a seguir?,O que queremos agora por Tracy?,O que é que a Tracy vai querer fazer a seguir?,suporte quinn,**,apoio quinn,ressentir quinn,**,- Não .,evitar quinn,nã,Evite o Quinn.,A
7373,O Alex apanhou um cão vadio que encontraram e levou a Addison ao abrigo de animais.,"Alex pegou um cão errante que encontrou, Alex levou Addison para o abrigo animal",A Alex apanhou um cão vadio que encontraram.,O que vai acontecer com Alex?,O que acontecerá com Alex?,O que vai acontecer com o Alex?,Olhe para os animais no abrigo,riz olhos para os animais no abrigo,Olha para os animais no abrigo .,Adote Addison,Adopt Addison,Adotar Addison,virar no cão perdido Alex encontrado,Alex encontrou,Entrega o cão vadio que o Alex encontrou.,C
7374,Robin chamou a polícia em Kendall porque ela roubou algo de uma loja ao virar da esquina.,Robin chamou a polícia no Quênia porque fez uma furta de uma loja em torno do canto.,A Robin chamou a polícia para a Kendall porque ela roubou algo de uma loja ao virar da esquina.,O que Kendall vai querer fazer a seguir?,O que queremos por Kendall?,O que é que a Kendall vai querer fazer a seguir?,get kendall em apuros,.,Arranjar problemas à Kendall .,Roubar mais coisas,sê-lo mais,Roubar mais coisas.,desistir,desistência,Desiste .,C
7375,Lee treinou o melhor que pôde para que eles pudessem ver o quão bom eles poderiam ser.,Lee treinou o melhor que poderia para ver o bom que poderia.,O Lee treinou-os o melhor que podiam para que pudessem ver o quão bons podiam ser.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,Determinado,Determinado,Determinado,Conheça o seu melhor,conhecer a melhor forma de,Sabem o melhor deles,Como alguém que pede o melhor,Como alguém que pede o melhor,Como alguém que pede o melhor,A
7376,"O Casey estava a lutar para tirar os sapatos, o Lee ajoelhou-se e tirou os sapatos do Casey.","Casey lutava para retirar os sapatos, Lee se apertou e tirou os sapatos de","O Casey estava a esforçar-se para tirar os sapatos, e o Lee ajoelhou-se e tirou-lhe os sapatos.",Como Lee se sentiria depois?,Como Lee sentiria depois?,Como é que o Lee se sentiria depois?,tola,silly,- Que parvo.,útil,,útil,Gratidão,Agradecimento,Agradecido,B
7377,Addison teve algum tempo extra e foi capaz de levar Tracy para o aeroporto.,Addison tinha algum tempo extra e conseguiu levar Tracy ao aeroporto.,A Addison teve algum tempo extra e conseguiu levar a Tracy ao aeroporto.,O que Addison vai querer fazer a seguir?,O que queremos com Addison?,O que é que a Addison vai querer fazer a seguir?,obter gás,án,- Traz gasolina .,Fique no aeroporto,permanência no aeroporto,Fique no aeroporto,conduzir para casa,au,conduzir para casa,C
7378,Bailey fez a seu vizinho uma pergunta sobre como eles poderiam fazer algo de bom para outros membros da comunidade.,bailey indagou aos vizinhos uma pergunta sobre como eles poderiam fazer algo agradável para outros membros,A Bailey perguntou ao vizinho como podiam fazer algo bom por outros membros da comunidade.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,irritada com o bailey,irritado com o baile,Estou irritado com a Bailey.,O ódio ao bailey,ódio pelo bailey,O ódio pela Bailey.,incluído por bailey,incluído pelo bailey,Incluído por Bailey,C
7379,Sasha deixou cair a mão de Casey quando ela percebeu que as pessoas estavam olhando para eles.,Sasha retirou a mão de Casey quando percebeu que as pessoas estavam olhando para elas.,A Sasha deixou cair a mão do Casey quando percebeu que as pessoas estavam a olhar para elas.,Como Sasha se sentiria depois?,Como se sentiria Sasha depois?,Como é que o Sasha se sentiria depois?,Como se tivessem feito algo errado,como eles fizeram alguma coisa errada,Como se tivessem feito algo errado.,Vergonha de si mesmo,vergonha de se auto-,envergonhado de si mesmo,Como segurar a mão,como segurar a mão,Como se os segurasse pela mão.,A
7380,Aubrey beijou a filha do artilheiro antes que ela tivesse que dizer adeus.,Aubrey batia na filha do gunner antes de ter que dizer adeus.,Aubrey beijou a filha do artilheiro antes de ela ter de se despedir.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,Sair e dizer adeus,folhas e dizer desagrado,Sai e diz adeus .,Confortá-la,Conforto ela,Conforta-a.,Mostre que ela a ama,mostram que ela a ama,mostrar que ela a ama,A
7381,Cameron não podia pagar um corte de cabelo. Sasha cortou o cabelo de Cameron e parecia ótimo.,"Cameron não conseguiu fazer um corte de cabelo, o cabelo de Cameron foi o mesmo e o cabelo",A Sasha cortou o cabelo da Cameron e estava óptimo.,O que vai acontecer com Sasha?,O que acontecerá com Sasha?,O que vai acontecer com o Sasha?,dar Sasha $100 para o corte de cabelo,adjudicar Sasha $100 para o corte de cabelo,Dá $100 ao Sasha pelo corte de cabelo.,estar em alta demanda por cortes de cabelo gratuitos,estar em alta procura por estacas de cabelo,A procura de cortes de cabelo gratuitos é elevada.,Envergonhe-se do trabalho que ela fez no cabelo,vergonha do trabalho que fez com o cabelo,Ela não se envergonha do trabalho que fez no cabelo.,B
7382,Sydney escolheu o restaurante favorito de Jordan para levá-lo para seu jantar de aniversário.,Sydney pegou o restaurante preferido da Jordânia para levá-lo para o jantar de aniversário.,A Sydney escolheu o restaurante preferido do Jordan para o levar para jantar no aniversário.,Como se sentiria Jordan como resultado?,Como seria que a Jordânia sentisse como resultado?,Como se sentiria Jordan?,Sorte de ter uma namorada pensativa,sorte de ter uma namorada pensada,Sorte ter uma namorada atenciosa .,Como se seu aniversário estivesse arruinado,como o aniversário foi destruído.,Como se o aniversário deles fosse arruinado.,Como eles gostariam de estar em casa,"como desejarem, eles foram",Como se quisessem estar em casa.,A
7383,Sydney amava seu tempo com seu namorado no parque juntos.,Sydney amou o seu tempo com o namorado no parque.,A Sydney adorava passar o tempo com o namorado no parque.,Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,Apaixonar-se,queda de amor,Apaixonar-me,sentir-se amoroso,sentir- se amado,sentir-se amado,Sentindo-se ansioso,sentir- se ansioso,sentir ansiedade,B
7384,Lee criou seus filhos para valorizar uma boa ética de trabalho.,Lee trouxe seus filhos para valorizar uma boa ética do trabalho.,Lee criou seus filhos para valorizar uma boa ética de trabalho.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,ter filhos,ter filhos,ter filhos,Use o que eles aprenderam,utilizar o que aprendeu,usar o que aprenderam,Para Lee ajudá-los na vida,Para Lee ajudá-los na vida,Para o Lee ajudá-los na vida,B
7385,Lee precisava de ajuda legal para que eles tivessem um policial para ajudar.,Lee necessitou de ajuda legal para que um policial ajudasse.,"O Lee precisava de ajuda legal, por isso mandaram um polícia ajudar.",O que o policial vai querer fazer a seguir?,O que o policial quer fazer a seguir?,O que o polícia vai querer fazer a seguir?,Ajude Lee,Ajuda fora Lee,Ajuda Lee .,Envie outra pessoa para ajudar Lee,enviar outra pessoa para ajudar Lee,Envia alguém para ajudar o Lee.,informações jurídicas corretas,Informações jurídicas correctas,Informações legais corretas,A
7386,Jesse trouxe para casa seu amigo para uma festa do pijama depois de um longo dia na escola.,Jesse trouxe para casa o amigo para dormir depois de um longo dia na escola.,Jesse trouxe para casa o amigo deles para dormir depois de um longo dia na escola.,O que Jesse vai querer fazer a seguir?,O que Jesse quer fazer em seguida?,O que é que o Jesse vai querer fazer a seguir?,Comer pizza e falar a noite toda,comer pizza e conversar durante a noite,comer pizza e falar a noite toda,Passar a noite sozinho lendo,pernoitar sozinho a leitura,Passa a noite sozinha a ler.,Pergunte à pessoa por que a seguiu,Pergunte à pessoa por que a acompanhou,Pergunte à pessoa por que eles os seguiram,A
7387,"Cameron poderia dar à luz a qualquer dia, então para ser um bom parceiro, Casey se preparou para a emergência de Cameron.","Cameron poderia dar à luz qualquer dia, de modo a ser um bom parceiro, Casey preparou","A Cameron pode dar à luz a qualquer momento, por isso, para ser uma boa parceira, a Casey preparou-se para a emergência da Cameron.",O que é que o Casey precisa de fazer antes disso?,O que é necessário para o Casey antes disso?,O que é que o Casey precisa de fazer antes disto?,Não gosto de Cameron,desgoste Cameron,Não gosto do Cameron.,Empacote o saco do hospital,embalagens na bolsa hospitalar,- Faça o saco do hospital .,Quer ajudar o Cameron?,quer ajudar Cameron,Quero ajudar a Cameron.,C
7388,Ash beijou Austin na testa depois que Austin o ajudou a vencer o jogo.,Ash beijou Austin na fronte após Austin o ajudou a vencer o jogo.,Ash beijou o Austin na testa depois de o Austin o ajudar a ganhar o jogo.,O que vai acontecer com Ash?,O que vai acontecer com Ash?,O que vai acontecer ao Ash?,Envergonhada pelo beijo,vergonha,Envergonhado pelo beijo.,repreender a outra equipe,ser cobrado pela outra equipe,repreender a outra equipa,Comemore a vitória,comemorar a vitória,Celebrem a vitória.,C
7389,"Alex entrou no escritório de seu pai para fazer uma pergunta difícil, mas importante.","Alex entrou no escritório do pai para fazer uma pergunta difícil, mas importante.","Alex entrou no escritório do pai para fazer uma pergunta difícil, mas importante.",O que acontecerá com Alex como resultado?,O que acontecerá com Alex em consequência?,O que acontecerá com Alex?,corajoso para avançar com a pergunta,brava para avançar com a questão,Corajoso por ter feito a pergunta.,ser ignorado de todas as distrações,ser ignorado de todas as distrações,ser ignorado de todas as distrações,Sentir falta de seu pai antes de ele sair para o trabalho,faltar o pai antes de sair para trabalhar,Sinto falta do pai antes dele ir trabalhar.,A
7390,Aubrey deu a Carson uma pausa porque eles estavam trabalhando direto durante a noite para terminar a preparação. Aubrey tinha dormido algumas horas e se sentia muito bem.,"Aubrey deu uma pausa de trabalho por trabalharem de manhã até o final do preparo,",Aubrey deu uma pausa a Carson porque eles tinham trabalhado toda a noite para terminar a preparação.,O que vai acontecer com Aubrey?,O que acontecerá com Aubrey?,O que vai acontecer ao Aubrey?,ficar frustrado e culpar Carson,. . . . . . . . . ,Ficar frustrado e culpar o Carson .,Continue o trabalho enquanto Carson dorme,continuar o trabalho enquanto Carson dorme,Continuem o trabalho enquanto o Carson dorme.,desaprovado em cima,,A olhar com o rosto fruncido,B
7391,Sydney soou o alarme de Casey e tentou acordá-los pela terceira vez.,Sydney somou o alarme de Casey e tentou vigá-los pela terceira vez.,A Sydney fez soar o alarme do Casey e tentou acordá-los pela terceira vez.,Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,um indivíduo dedicado,um indivíduo dedicado,um indivíduo dedicado,Irritado com Casey,ânsia em Casey,zangado com o Casey.,Cansado de dormir em,cansado de dormir,Cansado de dormir,A
7392,Austin começará a trabalhar na próxima semana na grande fábrica no meio da cidade.,Austin iniciará a sua atividade na semana seguinte na grande fábrica no meio da cidade.,O Austin vai começar a trabalhar na próxima semana na grande fábrica no meio da cidade.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,Preguiçosa,preguiça,preguiçoso,habilidosa,Competência,qualificado,nervoso,nervosismo,nervoso,C
7393,"Cameron estava muito nervoso com as coisas, mas Tracy fez a avaliação de Cameron melhor.","Cameron estava muito nervoso com relação às coisas, mas Tracy melhorou a avaliação de Cameron.","A Cameron estava muito nervosa, mas a Tracy melhorou a avaliação da Cameron.",Como Tracy se sentiria depois?,Como o Tracy se sentiria depois?,Como se sentiria a Tracy depois?,"Enfurecidos, eles ajudaram Cameron",ânimos que assistiram Cameron,"Irritados, ajudaram a Cameron.",inútil,inútil,inútil,Ainda bem que ajudaram Cameron.,ânimo que assistem Cameron,Ainda bem que ajudaram a Cameron .,C
7394,Quinn conversou com um amigo sobre uma festa surpresa que eles estavam planejando para outro amigo.,Quinn falou com um amigo sobre uma festa de surpresa que eles estavam planejando para outro amigo,O Quinn falou com um amigo sobre uma festa surpresa que estavam a planear para outro amigo.,Porque é que o Quinn fez isto?,Por que Quinn?,Porque é que o Quinn fez isto?,Falar mal de seu amigo,falo mal sobre a amizade,falar mal do amigo,Planeje uma festa,planeia uma parte,Planeia uma festa.,cancelar a festa,anular a parte,Cancele a festa.,B
7395,Sasha variou seu trabalho com limites para se divertir um pouco.,Sasha variou seu trabalho em limites para ter alguma diversão.,Sasha variava o trabalho com limites para se divertir.,Como Sasha se sentiria depois?,Como se sentiria Sasha depois?,Como é que o Sasha se sentiria depois?,inteligente,intelligent,Inteligente,industrious,industria,trabalhador,O trabalho feliz não era chato,O trabalho do louça não foi chato.,Ainda bem que o trabalho não era chato.,C
7396,Remy olhou para o número e chamou o restaurante para fazer um pedido.,Remy olhou para o número e chamou o restaurante para colocar uma ordem.,O Remy procurou o número e ligou para o restaurante para fazer um pedido.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Vai buscar a comida,apanhar os alimentos,Vai buscar a comida .,Vai buscar um amigo,ão,Vai buscar um amigo.,Prepare a mesa para a sobremesa,ajustar o quadro para a sobredosagem,Preparem a mesa para a sobremesa .,A
7397,"Jesse colocou os medos de Lee à vontade, mostrando Lee que não havia monstros escondidos debaixo da cama.","Jesse colocou os medos de Lee à vontade, mostrando que Lee não havia nenhum monstro escondido",Jesse acalmou os medos do Lee mostrando-lhe que não havia monstros escondidos debaixo da cama.,Porque é que o Jesse fez isto?,Por que Jesse fez isso?,Porque é que o Jesse fez isto?,fazer com que Lee volte a dormir,pegar Lee para voltar a dormir,Faz com que o Lee volte a dormir.,fazer com que Lee volte para a escola,chegar a Lee para voltar à escola,Faça com que o Lee volte para a escola.,Estúpido.,stupid,- Que estúpido.,A
7398,Kai pega ovos da geladeira e farinha e açúcar do armário. Kai abre uma receita e começa a assar um bolo.,Agarra-se ovo fora da frigorífico e farinha e açúcar fora da cabine,Kai pega ovos da geladeira e farinha e açúcar do armário.,O que Kai precisa fazer antes disso?,O que o Kai precisa fazer antes disso?,O que é que o Kai precisa de fazer antes disto?,tirar o bolo do forno,retirar a torta do forno,Tire o bolo do forno,comprar os materiais de panificação,compra dos insumos de cozinha,comprar os materiais de cozimento,deixe o bolo esfriar antes de gear,deixe a torta fria antes de congelar,Deixe o bolo arrefecer antes de ser gelado,B
7399,A Riley telefonou ao Kai amanhã sobre o grande baile desta sexta-feira.,Riley chamou de amanhã Kai sobre a grande dança desta sexta-feira.,A Riley ligou ao Kai amanhã sobre o baile na próxima sexta-feira.,Porque é que a Riley fez isto?,Por que o Riley fez isso?,Porque é que a Riley fez isto?,Amado,amado,Amado,Prepare-se para a grande dança,preparação para a dança grande,Preparem-se para a grande dança .,Conte a outros amigos sobre a grande dança,contamos outros amigos sobre a dança grande,contar aos outros amigos sobre a grande dança,B
7400,O Jordan atrasou-se no trabalho e desperdiçou o tempo de todos.,"A Jordan estava tardiamente trabalhando e desperdiçava o tempo de todos, e a",A Jordan chegou atrasada ao trabalho e desperdiçou o tempo de todos.,Como você descreveria a Jordânia?,Como descreveria a Jordânia?,Como descreveria o Jordan?,diligente,diligente,diligente,sem desculpa,Sem desculpa,sem desculpas,confiável,fidedigna,confiável,B
7401,"O Kendall está mesmo fora de controlo, roubou a bolsa cara do Skylar e penhorou-a por quase nada.","Kendall está realmente fora de controle, fez uma lavagem pesada de Skylar e apa","A Kendall está fora de controlo, roubou a caríssima bolsa da Skylar e empenhou-a por quase nada.",Como você descreveria Kendall?,Como descrever Kendall?,Como descreveria a Kendall?,irresponsáveis,responsabilidade,Irresponsável.,confiável,fidedigna,confiável,honesto,honest,Honesto.,A
7402,Austin implorou e implorou por um novo filhote de cachorro de seus pais.,Austin sugeriu e sugeriu um novo filho de seus pais.,O Austin implorou e implorou por um novo filhote dos pais.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,irritada,irritação,irritado,um bom garoto,uma criança bonita,Um bom miúdo.,descontraída,lúdico,relaxado,A
7403,Skylar queria matar Jan naquele dia depois que ele viu Skylar fazendo sexo com sua namorada.,Skylar queria matar Jan daquele dia depois de ter visto Skylar ter relações sexuais com a namorada,A Skylar queria matar o Jan depois de a ver a fazer sexo com a namorada.,O que a Skylar vai querer fazer a seguir?,O que queremos com Skylar?,O que vai a Skylar querer fazer a seguir?,Chame a polícia,chama a atenção da polícia,Chama a polícia.,Peça uma explicação,Pedido de uma explicação,pedir uma explicação,Saia da cidade,sair de cidade,Saia da cidade.,B
